"","x"
"1362","entertainment"
"1363","entertainment"
"1364","food"
"1365","entertainment"
"1366","entertainment"
"1367","food"
"1368","family"
"1369","exercise"
"1370","people"
"1371","family"
"1372","shopping"
"1373","family"
"1374","people"
"1375","family"
"1376","family"
"1377","family"
"1378","food"
"1379","food"
"1380","people"
"1381","entertainment"
"1382","shopping"
"1383","none"
"1384","food"
"1385","people"
"1386","people"
"1387","exercise"
"1388","food"
"1389","family"
"1390","school"
"1391","food"
"1392","entertainment"
"1393","entertainment"
"1394","shopping"
"1395","people"
"1396","entertainment"
"1397","food"
"1398","none"
"1399","exercise"
"1400","family"
"1401","people"
"1402","none"
"1403","family"
"1404","none"
"1405","work"
"1406","exercise"
"1407","none"
"1408","exercise"
"1409","food"
"1410","food"
"1411","entertainment"
"1412","none"
"1413","exercise"
"1414","none"
"1415","none"
"1416","none"
"1417","people"
"1418","none"
"1419","none"
"1420","entertainment"
"1421","none"
"1422","food"
"1423","food"
"1424","none"
"1425","exercise"
"1426","shopping"
"1427","none"
"1428","pets"
"1429","people"
"1430","food"
"1431","work"
"1432","entertainment"
"1433","none"
"1434","family"
"1435","none"
"1436","none"
"1437","food"
"1438","shopping"
"1439","none"
"1440","people"
"1441","none"
"1442","none"
"1443","people"
"1444","shopping"
"1445","none"
"1446","entertainment"
"1447","none"
"1448","exercise"
"1449","exercise"
"1450","food"
"1451","shopping"
"1452","food"
"1453","none"
"1454","none"
"1455","none"
"1456","none"
"1457","entertainment"
"1458","none"
"1459","entertainment"
"1460","work"
"1461","entertainment"
"1462","none"
"1463","shopping"
"1464","none"
"1465","none"
"1466","none"
"1467","none"
"1468","none"
"1469","none"
"1470","none"
"1471","family"
"1472","none"
"1473","none"
"1474","none"
"1475","shopping"
"1476","none"
"1477","none"
"1478","people"
"1479","shopping"
"1480","none"
"1481","none"
"1482","pets"
"1483","none"
"1484","family"
"1485","none"
"1486","entertainment"
"1487","people"
"1488","exercise"
"1489","food"
"1490","people"
"1491","food"
"1492","entertainment"
"1493","pets"
"1494","shopping"
"1495","food"
"1496","food"
"1497","people"
"1498","entertainment"
"1499","food"
"1500","exercise"
"1501","none"
"1502","food"
"1503","none"
"1504","none"
"1505","none"
"1506","food"
"1507","pets"
"1508","work"
"1509","food"
"1510","food"
"1511","people"
"1512","entertainment"
"1513","entertainment"
"1514","family"
"1515","food"
"1516","food"
"1517","none"
"1518","none"
"1519","food"
"1520","people"
"1521","none"
"1522","people"
"1523","none"
"1524","food"
"1525","exercise"
"1526","work"
"1527","pets"
"1528","exercise"
"1529","none"
"1530","exercise"
"1531","entertainment"
"1532","none"
"1533","none"
"1534","none"
"1535","people"
"1536","exercise"
"1537","exercise"
"1538","people"
"1539","none"
"1540","people"
"1541","exercise"
"1542","exercise"
"1543","exercise"
"1544","exercise"
"1545","exercise"
"1546","exercise"
"1547","none"
"1548","entertainment"
"1549","exercise"
"1550","exercise"
"1551","entertainment"
"1552","none"
"1553","none"
"1554","none"
"1555","exercise"
"1556","exercise"
"1557","none"
"1558","exercise"
"1559","food"
"1560","exercise"
"1561","entertainment"
"1562","people"
"1563","none"
"1564","none"
"1565","none"
"1566","exercise"
"1567","none"
"1568","people"
"1569","none"
"1570","family"
"1571","food"
"1572","exercise"
"1573","exercise"
"1574","people"
"1575","work"
"1576","people"
"1577","food"
"1578","people"
"1579","exercise"
"1580","work"
"1581","shopping"
"1582","family"
"1583","family"
"1584","none"
"1585","people"
"1586","food"
"1587","food"
"1588","work"
"1589","exercise"
"1590","entertainment"
"1591","exercise"
"1592","entertainment"
"1593","food"
"1594","family"
"1595","food"
"1596","shopping"
"1597","family"
"1598","people"
"1599","food"
"1600","shopping"
"1601","entertainment"
"1602","food"
"1603","people"
"1604","family"
"1605","none"
"1606","food"
"1607","people"
"1608","family"
"1609","shopping"
"1610","exercise"
"1611","people"
"1612","shopping"
"1613","exercise"
"1614","exercise"
"1615","shopping"
"1616","people"
"1617","entertainment"
"1618","exercise"
"1619","people"
"1620","work"
"1621","shopping"
"1622","people"
"1623","food"
"1624","family"
"1625","family"
"1626","people"
"1627","shopping"
"1628","shopping"
"1629","exercise"
"1630","pets"
"1631","entertainment"
"1632","entertainment"
"1633","people"
"1634","people"
"1635","people"
"1636","food"
"1637","family"
"1638","people"
"1639","exercise"
"1640","shopping"
"1641","entertainment"
"1642","family"
"1643","shopping"
"1644","work"
"1645","entertainment"
"1646","entertainment"
"1647","people"
"1648","family"
"1649","food"
"1650","people"
"1651","exercise"
"1652","none"
"1653","family"
"1654","people"
"1655","people"
"1656","people"
"1657","entertainment"
"1658","family"
"1659","exercise"
"1660","family"
"1661","entertainment"
"1662","work"
"1663","food"
"1664","shopping"
"1665","family"
"1666","entertainment"
"1667","food"
"1668","people"
"1669","family"
"1670","people"
"1671","none"
"1672","none"
"1673","food"
"1674","food"
"1675","exercise"
"1676","people"
"1677","people"
"1678","food"
"1679","people"
"1680","pets"
"1681","family"
"1682","people"
"1683","food"
"1684","food"
"1685","family"
"1686","food"
"1687","people"
"1688","food"
"1689","work"
"1690","none"
"1691","exercise"
"1692","none"
"1693","food"
"1694","food"
"1695","family"
"1696","exercise"
"1697","food"
"1698","food"
"1699","people"
"1700","people"
"1701","family"
"1702","pets"
"1703","none"
"1704","work"
"1705","none"
"1706","food"
"1707","none"
"1708","none"
"1709","work"
"1710","none"
"1711","work"
"1712","none"
"1713","food"
"1714","none"
"1715","food"
"1716","none"
"1717","none"
"1718","people"
"1719","pets"
"1720","food"
"1721","none"
"1722","none"
"1723","people"
"1724","none"
"1725","entertainment"
"1726","exercise"
"1727","none"
"1728","people"
"1729","exercise"
"1730","none"
"1731","none"
"1732","none"
"1733","shopping"
"1734","none"
"1735","people"
"1736","shopping"
"1737","family"
"1738","none"
"1739","none"
"1740","food"
"1741","food"
"1742","none"
"1743","entertainment"
"1744","none"
"1745","none"
"1746","people"
"1747","food"
"1748","none"
"1749","exercise"
"1750","none"
"1751","none"
"1752","none"
"1753","none"
"1754","family"
"1755","food"
"1756","none"
"1757","entertainment"
"1758","exercise"
"1759","exercise"
"1760","family"
"1761","none"
"1762","entertainment"
"1763","none"
"1764","none"
"1765","none"
"1766","food"
"1767","none"
"1768","exercise"
"1769","shopping"
"1770","entertainment"
"1771","work"
"1772","family"
"1773","none"
"1774","none"
"1775","none"
"1776","none"
"1777","work"
"1778","food"
"1779","none"
"1780","family"
"1781","food"
"1782","none"
"1783","none"
"1784","food"
"1785","entertainment"
"1786","entertainment"
"1787","pets"
"1788","food"
"1789","entertainment"
"1790","shopping"
"1791","entertainment"
"1792","exercise"
"1793","shopping"
"1794","entertainment"
"1795","food"
"1796","entertainment"
"1797","entertainment"
"1798","food"
"1799","people"
"1800","food"
"1801","food"
"1802","food"
"1803","food"
"1804","shopping"
"1805","shopping"
"1806","people"
"1807","none"
"1808","family"
"1809","entertainment"
"1810","exercise"
"1811","none"
"1812","shopping"
"1813","shopping"
"1814","shopping"
"1815","none"
"1816","none"
"1817","food"
"1818","none"
"1819","none"
"1820","none"
"1821","none"
"1822","entertainment"
"1823","entertainment"
"1824","family"
"1825","people"
"1826","exercise"
"1827","family"
"1828","food"
"1829","food"
"1830","none"
"1831","entertainment"
"1832","none"
"1833","none"
"1834","entertainment"
"1835","none"
"1836","entertainment"
"1837","none"
"1838","none"
"1839","people"
"1840","family"
"1841","none"
"1842","none"
"1843","none"
"1844","exercise"
"1845","none"
"1846","none"
"1847","none"
"1848","family"
"1849","food"
"1850","none"
"1851","entertainment"
"1852","entertainment"
"1853","none"
"1854","people"
"1855","family"
"1856","none"
"1857","people"
"1858","shopping"
"1859","food"
"1860","none"
"1861","exercise"
"1862","people"
"1863","people"
"1864","family"
"1865","work"
"1866","none"
"1867","exercise"
"1868","none"
"1869","none"
"1870","none"
"1871","exercise"
"1872","exercise"
"1873","none"
"1874","none"
"1875","exercise"
"1876","none"
"1877","people"
"1878","exercise"
"1879","food"
"1880","people"
"1881","none"
"1882","exercise"
"1883","none"
"1884","none"
"1885","people"
"1886","food"
"1887","none"
"1888","none"
"1889","none"
"1890","people"
"1891","none"
"1892","none"
"1893","food"
"1894","exercise"
"1895","exercise"
"1896","food"
"1897","exercise"
"1898","none"
"1899","food"
"1900","none"
"1901","exercise"
"1902","people"
"1903","work"
"1904","exercise"
"1905","none"
"1906","people"
"1907","food"
"1908","work"
"1909","food"
"1910","none"
"1911","exercise"
"1912","food"
"1913","family"
"1914","people"
"1915","food"
"1916","none"
"1917","food"
"1918","none"
"1919","family"
"1920","none"
"1921","food"
"1922","food"
"1923","family"
"1924","food"
"1925","food"
"1926","none"
"1927","none"
"1928","entertainment"
"1929","food"
"1930","entertainment"
"1931","people"
"1932","food"
"1933","food"
"1934","people"
"1935","food"
"1936","entertainment"
"1937","entertainment"
"1938","family"
"1939","people"
"1940","shopping"
"1941","none"
"1942","family"
"1943","people"
"1944","none"
"1945","people"
"1946","exercise"
"1947","people"
"1948","none"
"1949","food"
"1950","none"
"1951","none"
"1952","people"
"1953","people"
"1954","people"
"1955","food"
"1956","food"
"1957","people"
"1958","food"
"1959","none"
"1960","food"
"1961","shopping"
"1962","entertainment"
"1963","pets"
"1964","people"
"1965","none"
"1966","food"
"1967","pets"
"1968","food"
